episode,timestep,reward
19,20,-0.8214
39,40,-0.6662
59,60,-0.7307
79,80,-0.7299
99,100,-0.7948
119,120,-0.7237
139,140,-0.7626
159,160,-0.6498
179,180,-0.7121
199,200,-0.6937
219,220,-0.684
239,240,-0.6521
259,260,-0.739
279,280,-0.7279
299,300,-0.6034
319,320,-0.5987
339,340,-0.5471
359,360,-0.5632
379,380,-0.6042
399,400,-0.5565
419,420,-0.5328
439,440,-0.5971
459,460,-0.5506
479,480,-0.5227
499,500,-0.6306
519,520,-0.4475
539,540,-0.5276
559,560,-0.4588
579,580,-0.5264
599,600,-0.5614
619,620,-0.3911
639,640,-0.5137
659,660,-0.5097
679,680,-0.3518
699,700,-0.4311
719,720,-0.4577
739,740,-0.4105
759,760,-0.3304
779,780,-0.2923
799,800,-0.4212
819,820,-0.3722
839,840,-0.4094
859,860,-0.3254
879,880,-0.3413
899,900,-0.3657
919,920,-0.3404
939,940,-0.3242
959,960,-0.4749
979,980,-0.3637
999,1000,-0.3744
1019,1020,-0.3969
1039,1040,-0.4539
