episode,timestep,reward
19,20,-1889.7423
39,40,-1276.4792
59,60,-1358.0508
79,80,-1214.783
99,100,-1207.3595
119,120,-696.881
139,140,-932.876
159,160,-994.2732
179,180,-570.793
199,200,-597.8444
219,220,-597.9025
239,240,-562.6729
259,260,-631.6235
279,280,-429.5074
299,300,-244.0607
319,320,-299.5705
339,340,-250.945
359,360,-273.7196
379,380,-221.6685
399,400,-126.1887
419,420,-111.9844
439,440,-81.2018
459,460,-80.6462
479,480,-120.0191
499,500,-101.0625
519,520,-44.2503
539,540,-65.3355
559,560,-28.708
579,580,-92.765
599,600,-81.0741
619,620,-110.1944
639,640,-51.7831
659,660,-62.4309
679,680,-21.7121
699,700,-37.2487
719,720,-47.8817
739,740,-34.7398
759,760,-45.2462
779,780,-22.1298
799,800,-69.0514
819,820,-25.0264
839,840,-73.599
859,860,-22.4515
879,880,-38.6708
899,900,-31.4442
919,920,-64.6315
939,940,-28.219
959,960,-71.7309
979,980,-37.6309
999,1000,-58.3928
1019,1020,-23.4429
1039,1040,-52.2792
1059,1060,-23.1912
1079,1080,-96.9218
1099,1100,-29.1097
1119,1120,-32.0119
1139,1140,-25.0439
1159,1160,-52.9245
1179,1180,-24.9957
1199,1200,-71.0751
1219,1220,-46.4353
1239,1240,-83.408
1259,1260,-92.0607
1279,1280,-62.423
1299,1300,-22.549
1319,1320,-70.2977
1339,1340,-26.1196
1359,1360,-35.6734
1379,1380,-22.281
1399,1400,-32.2454
1419,1420,-139.9072
1439,1440,-149.3858
1459,1460,-79.4411
1479,1480,-30.1813
1499,1500,-21.2953
1519,1520,-23.4669
1539,1540,-68.4984
1559,1560,-26.862
1579,1580,-29.5579
1599,1600,-86.9473
1619,1620,-83.3029
1639,1640,-67.7321
1659,1660,-41.1358
1679,1680,-26.4633
1699,1700,-24.8066
1719,1720,-57.7066
1739,1740,-72.6579
1759,1760,-59.3577
1779,1780,-63.9936
1799,1800,-70.3726
1819,1820,-42.8461
1839,1840,-35.2349
1859,1860,-105.6687
1879,1880,-29.5075
1899,1900,-25.7956
1919,1920,-21.5928
1939,1940,-22.3299
1959,1960,-50.9487
1979,1980,-41.4312
1999,2000,-21.7844
2019,2020,-27.457
2039,2040,-48.1609
2059,2060,-24.404
2079,2080,-82.0104
2099,2100,-53.2327
2119,2120,-20.4337
2139,2140,-78.1992
2159,2160,-32.5936
2179,2180,-61.5364
2199,2200,-72.968
2219,2220,-104.7512
2239,2240,-26.8817
2259,2260,-22.3717
2279,2280,-69.078
2299,2300,-62.0096
2319,2320,-57.9984
2339,2340,-31.1619
2359,2360,-54.3344
2379,2380,-66.4127
2399,2400,-35.4993
2419,2420,-38.2807
2439,2440,-141.422
2459,2460,-66.9096
2479,2480,-61.7662
2499,2500,-55.4001
2519,2520,-82.0176
2539,2540,-44.6857
2559,2560,-68.0696
2579,2580,-21.8959
2599,2600,-24.7728
2619,2620,-23.0936
2639,2640,-75.6124
2659,2660,-86.2308
2679,2680,-61.5253
2699,2700,-85.324
2719,2720,-78.7964
2739,2740,-43.5256
2759,2760,-25.9329
2779,2780,-83.3468
2799,2800,-66.4719
2819,2820,-26.0235
2839,2840,-36.5806
2859,2860,-55.8329
