episode,timestep,reward
19,20,-1933.6863
39,40,-1205.3283
59,60,-1334.4118
79,80,-1124.7562
99,100,-1180.4178
119,120,-957.9491
139,140,-810.1643
159,160,-710.4955
179,180,-565.9759
199,200,-585.4892
219,220,-496.5785
239,240,-492.1832
259,260,-359.9843
279,280,-238.7619
299,300,-370.152
319,320,-245.7462
339,340,-272.8921
359,360,-214.2884
379,380,-136.8022
399,400,-96.0719
419,420,-104.795
439,440,-124.2222
459,460,-51.9044
479,480,-61.9777
499,500,-56.452
519,520,-67.3198
539,540,-54.0302
559,560,-85.9396
579,580,-28.6902
599,600,-63.9782
619,620,-43.4331
639,640,-56.112
659,660,-88.2588
679,680,-23.7961
699,700,-73.0512
719,720,-23.2797
739,740,-50.9636
759,760,-23.1168
779,780,-72.2723
799,800,-58.2304
819,820,-58.5032
839,840,-30.9119
859,860,-52.0152
879,880,-36.7643
899,900,-87.8349
919,920,-23.1182
939,940,-83.669
959,960,-61.0611
979,980,-22.3099
999,1000,-68.4795
1019,1020,-101.3498
1039,1040,-42.3189
1059,1060,-70.7517
1079,1080,-22.9733
1099,1100,-23.9679
1119,1120,-69.5551
1139,1140,-22.9298
1159,1160,-78.4397
1179,1180,-48.9837
1199,1200,-91.7197
1219,1220,-63.3287
1239,1240,-27.2024
1259,1260,-20.962
