episode,timestep,reward
19,20,-3084.6068
39,40,-1708.0349
59,60,-1341.9746
79,80,-704.0581
99,100,-927.6598
119,120,-642.2772
139,140,-470.0236
159,160,-389.8599
179,180,-269.448
199,200,-286.8801
219,220,-170.9041
239,240,-127.6311
259,260,-93.5934
279,280,-84.264
299,300,-33.0258
319,320,-29.9707
339,340,-150.7101
359,360,-46.352
379,380,-47.1308
399,400,-41.1663
419,420,-43.3373
439,440,-24.4039
459,460,-42.2941
479,480,-50.2616
499,500,-116.4403
519,520,-24.9802
539,540,-23.7614
559,560,-69.0778
579,580,-57.3118
599,600,-24.5949
619,620,-60.4463
639,640,-82.129
659,660,-127.7726
679,680,-49.0264
699,700,-39.005
719,720,-58.4675
739,740,-55.7628
759,760,-23.9229
779,780,-23.6083
799,800,-40.6311
819,820,-70.5126
839,840,-25.1901
859,860,-54.7601
879,880,-32.6074
899,900,-47.4711
919,920,-76.1606
939,940,-49.0579
959,960,-156.7979
979,980,-63.1763
999,1000,-98.3105
1019,1020,-29.522
1039,1040,-24.0478
1059,1060,-71.0918
1079,1080,-31.2555
1099,1100,-24.457
1119,1120,-22.2491
1139,1140,-96.4982
1159,1160,-30.4133
1179,1180,-45.0403
1199,1200,-131.5809
1219,1220,-68.4988
1239,1240,-22.6869
1259,1260,-23.1015
1279,1280,-57.4908
1299,1300,-41.0954
1319,1320,-22.7197
1339,1340,-27.124
1359,1360,-71.2781
1379,1380,-41.1075
1399,1400,-47.241
1419,1420,-23.196
1439,1440,-23.1228
1459,1460,-40.9942
1479,1480,-65.4105
1499,1500,-24.8372
