episode,timestep,reward
19,20,-1994.4137
39,40,-1293.6687
59,60,-1395.8438
79,80,-1149.3298
99,100,-1244.5836
119,120,-887.0137
139,140,-849.6551
159,160,-767.5475
179,180,-624.7337
199,200,-615.7444
219,220,-691.4346
239,240,-377.553
259,260,-597.9108
279,280,-417.7312
299,300,-422.9165
319,320,-330.4171
339,340,-274.2723
359,360,-235.5098
379,380,-216.932
399,400,-107.8953
419,420,-187.2345
439,440,-143.6754
459,460,-143.555
479,480,-196.8342
499,500,-130.6751
519,520,-64.5147
539,540,-40.4515
559,560,-49.247
579,580,-41.6695
599,600,-143.0675
619,620,-101.3513
639,640,-24.8516
659,660,-23.3886
679,680,-36.6869
699,700,-36.7798
719,720,-23.9834
739,740,-21.7837
759,760,-36.4974
779,780,-100.6095
799,800,-26.1045
819,820,-46.4593
839,840,-118.5799
859,860,-42.9773
879,880,-44.4841
899,900,-63.7562
919,920,-64.9305
939,940,-42.1316
959,960,-140.6787
979,980,-23.8097
999,1000,-63.3477
1019,1020,-27.7149
1039,1040,-50.1764
1059,1060,-23.2734
1079,1080,-67.3855
1099,1100,-43.4553
1119,1120,-52.0478
1139,1140,-22.4693
1159,1160,-23.2386
1179,1180,-80.5174
1199,1200,-75.2028
1219,1220,-21.0873
1239,1240,-54.4435
1259,1260,-72.2971
1279,1280,-28.6759
