episode,timestep,reward
19,20,-0.8326
39,40,-0.7062
59,60,-0.6778
79,80,-0.7331
99,100,-0.7713
119,120,-0.7333
139,140,-0.7059
159,160,-0.6725
179,180,-0.6811
199,200,-0.7253
219,220,-0.6636
239,240,-0.7291
259,260,-0.6986
279,280,-0.6843
299,300,-0.606
319,320,-0.6162
339,340,-0.6359
359,360,-0.5745
379,380,-0.5841
399,400,-0.5336
419,420,-0.4817
439,440,-0.3649
459,460,-0.5806
479,480,-0.4698
499,500,-0.4675
519,520,-0.5648
539,540,-0.5154
559,560,-0.521
579,580,-0.4599
599,600,-0.5899
619,620,-0.3394
639,640,-0.3792
659,660,-0.5347
679,680,-0.3266
699,700,-0.4697
719,720,-0.3744
739,740,-0.5079
759,760,-0.3939
779,780,-0.5065
799,800,-0.3963
819,820,-0.3419
839,840,-0.3761
859,860,-0.4432
879,880,-0.4673
899,900,-0.3597
919,920,-0.3636
939,940,-0.3414
959,960,-0.336
979,980,-0.4159
999,1000,-0.426
1019,1020,-0.3477
1039,1040,-0.4026
1059,1060,-0.402
1079,1080,-0.2651
1099,1100,-0.3652
1119,1120,-0.3172
1139,1140,-0.4269
1159,1160,-0.4488
1179,1180,-0.336
1199,1200,-0.2962
1219,1220,-0.2852
1239,1240,-0.3739
1259,1260,-0.3251
1279,1280,-0.3748
1299,1300,-0.3435
1319,1320,-0.4261
1339,1340,-0.3459
1359,1360,-0.4063
1379,1380,-0.3391
1399,1400,-0.2616
1419,1420,-0.4138
1439,1440,-0.3546
1459,1460,-0.3688
1479,1480,-0.2893
1499,1500,-0.4218
1519,1520,-0.338
1539,1540,-0.4101
1559,1560,-0.2632
1579,1580,-0.3057
1599,1600,-0.2879
1619,1620,-0.2587
1639,1640,-0.289
1659,1660,-0.4495
1679,1680,-0.4267
1699,1700,-0.4176
1719,1720,-0.4017
1739,1740,-0.3374
1759,1760,-0.3106
1779,1780,-0.3034
1799,1800,-0.3123
1819,1820,-0.282
1839,1840,-0.3144
1859,1860,-0.3401
1879,1880,-0.2864
1899,1900,-0.4268
1919,1920,-0.3583
1939,1940,-0.2886
1959,1960,-0.419
1979,1980,-0.374
1999,2000,-0.3496
2019,2020,-0.2288
2039,2040,-0.3877
2059,2060,-0.3244
2079,2080,-0.2266
2099,2100,-0.3359
2119,2120,-0.2845
2139,2140,-0.311
2159,2160,-0.3808
2179,2180,-0.3169
2199,2200,-0.2279
2219,2220,-0.3659
2239,2240,-0.3276
2259,2260,-0.2806
2279,2280,-0.3894
2299,2300,-0.2081
2319,2320,-0.3441
2339,2340,-0.3915
2359,2360,-0.2807
2379,2380,-0.3368
2399,2400,-0.3974
2419,2420,-0.153
2439,2440,-0.2949
2459,2460,-0.2826
2479,2480,-0.3371
2499,2500,-0.3327
2519,2520,-0.3085
2539,2540,-0.2573
2559,2560,-0.2922
2579,2580,-0.2374
2599,2600,-0.3865
2619,2620,-0.3806
2639,2640,-0.3569
2659,2660,-0.3952
2679,2680,-0.3164
2699,2700,-0.4044
2719,2720,-0.3075
2739,2740,-0.2953
2759,2760,-0.2883
2779,2780,-0.3175
2799,2800,-0.4006
2819,2820,-0.2299
2839,2840,-0.3419
2859,2860,-0.2768
2879,2880,-0.3371
2899,2900,-0.3878
2919,2920,-0.4144
2939,2940,-0.2781
2959,2960,-0.2733
2979,2980,-0.3154
2999,3000,-0.2273
3019,3020,-0.2335
3039,3040,-0.3379
3059,3060,-0.3583
3079,3080,-0.37
3099,3100,-0.2625
3119,3120,-0.4488
3139,3140,-0.2833
3159,3160,-0.2845
3179,3180,-0.4702
3199,3200,-0.3206
3219,3220,-0.3014
3239,3240,-0.3339
3259,3260,-0.3038
3279,3280,-0.2204
3299,3300,-0.3318
3319,3320,-0.4076
3339,3340,-0.3375
3359,3360,-0.2545
3379,3380,-0.3964
3399,3400,-0.2535
3419,3420,-0.3407
3439,3440,-0.3917
3459,3460,-0.2592
3479,3480,-0.365
3499,3500,-0.2301
3519,3520,-0.2408
3539,3540,-0.2288
3559,3560,-0.3635
3579,3580,-0.3184
3599,3600,-0.3649
3619,3620,-0.3059
3639,3640,-0.281
3659,3660,-0.3249
3679,3680,-0.2839
3699,3700,-0.313
3719,3720,-0.2881
3739,3740,-0.3662
3759,3760,-0.2614
3779,3780,-0.2308
3799,3800,-0.3392
3819,3820,-0.2662
3839,3840,-0.2899
3859,3860,-0.3548
3879,3880,-0.263
3899,3900,-0.2878
3919,3920,-0.3658
3939,3940,-0.4204
3959,3960,-0.3747
3979,3980,-0.2837
3999,4000,-0.2284
4019,4020,-0.375
4039,4040,-0.2905
4059,4060,-0.3142
4079,4080,-0.2517
4099,4100,-0.2086
4119,4120,-0.2902
4139,4140,-0.3089
4159,4160,-0.2823
4179,4180,-0.3402
4199,4200,-0.3475
4219,4220,-0.2873
4239,4240,-0.1507
4259,4260,-0.2326
4279,4280,-0.3413
4299,4300,-0.3145
4319,4320,-0.3337
4339,4340,-0.2645
4359,4360,-0.3094
4379,4380,-0.2835
4399,4400,-0.2376
4419,4420,-0.3918
4439,4440,-0.2892
4459,4460,-0.264
4479,4480,-0.3212
4499,4500,-0.3395
4519,4520,-0.3126
4539,4540,-0.3067
4559,4560,-0.2949
4579,4580,-0.3838
4599,4600,-0.208
4619,4620,-0.2692
4639,4640,-0.2832
4659,4660,-0.1751
4679,4680,-0.2603
4699,4700,-0.2886
4719,4720,-0.3753
4739,4740,-0.216
4759,4760,-0.2879
4779,4780,-0.3216
4799,4800,-0.3113
4819,4820,-0.2366
4839,4840,-0.3099
4859,4860,-0.3729
4879,4880,-0.3149
4899,4900,-0.3282
4919,4920,-0.1794
4939,4940,-0.2848
4959,4960,-0.1589
4979,4980,-0.2064
4999,5000,-0.2315
5019,5020,-0.3385
5039,5040,-0.3095
5059,5060,-0.3584
5079,5080,-0.2869
5099,5100,-0.268
5119,5120,-0.2905
5139,5140,-0.3328
5159,5160,-0.2392
5179,5180,-0.2802
5199,5200,-0.2567
5219,5220,-0.2449
5239,5240,-0.2048
5259,5260,-0.1648
5279,5280,-0.2392
5299,5300,-0.3221
5319,5320,-0.29
5339,5340,-0.2949
5359,5360,-0.2905
5379,5380,-0.289
5399,5400,-0.1282
5419,5420,-0.3282
5439,5440,-0.2827
5459,5460,-0.2915
5479,5480,-0.2627
5499,5500,-0.3852
5519,5520,-0.2542
5539,5540,-0.2378
5559,5560,-0.2627
5579,5580,-0.2901
5599,5600,-0.231
5619,5620,-0.308
5639,5640,-0.2918
5659,5660,-0.1568
5679,5680,-0.2101
5699,5700,-0.2571
5719,5720,-0.2906
5739,5740,-0.2699
5759,5760,-0.2857
5779,5780,-0.2625
5799,5800,-0.3675
5819,5820,-0.2671
5839,5840,-0.2068
5859,5860,-0.2334
5879,5880,-0.2069
5899,5900,-0.3444
5919,5920,-0.2855
5939,5940,-0.2323
5959,5960,-0.2876
5979,5980,-0.1558
5999,6000,-0.2085
6019,6020,-0.2117
6039,6040,-0.1593
6059,6060,-0.2862
6079,6080,-0.2118
6099,6100,-0.2636
6119,6120,-0.3281
6139,6140,-0.2562
6159,6160,-0.2809
6179,6180,-0.3087
6199,6200,-0.2537
6219,6220,-0.2366
6239,6240,-0.2315
6259,6260,-0.2394
6279,6280,-0.239
6299,6300,-0.2664
6319,6320,-0.2083
6339,6340,-0.2563
6359,6360,-0.2807
6379,6380,-0.1871
6399,6400,-0.2834
6419,6420,-0.2345
6439,6440,-0.2073
6459,6460,-0.2875
6479,6480,-0.3125
6499,6500,-0.2403
6519,6520,-0.2667
6539,6540,-0.2371
6559,6560,-0.2646
6579,6580,-0.1834
6599,6600,-0.23
6619,6620,-0.1771
6639,6640,-0.2892
6659,6660,-0.2607
6679,6680,-0.2919
6699,6700,-0.2936
6719,6720,-0.1896
6739,6740,-0.2989
6759,6760,-0.2605
6779,6780,-0.2682
6799,6800,-0.2306
6819,6820,-0.2578
6839,6840,-0.1859
6859,6860,-0.2454
6879,6880,-0.3714
6899,6900,-0.2898
6919,6920,-0.1573
6939,6940,-0.1815
6959,6960,-0.3484
6979,6980,-0.3031
6999,7000,-0.2018
7019,7020,-0.289
7039,7040,-0.1593
7059,7060,-0.2381
7079,7080,-0.2356
7099,7100,-0.182
7119,7120,-0.2625
7139,7140,-0.268
7159,7160,-0.1893
7179,7180,-0.1554
7199,7200,-0.3436
7219,7220,-0.1574
7239,7240,-0.3062
7259,7260,-0.2127
7279,7280,-0.2078
7299,7300,-0.2297
7319,7320,-0.2576
7339,7340,-0.2151
7359,7360,-0.2361
7379,7380,-0.2725
7399,7400,-0.2615
7419,7420,-0.2592
7439,7440,-0.2368
7459,7460,-0.3128
7479,7480,-0.2074
7499,7500,-0.2793
7519,7520,-0.2291
7539,7540,-0.2486
7559,7560,-0.3127
7579,7580,-0.1857
7599,7600,-0.1812
7619,7620,-0.2045
7639,7640,-0.1622
7659,7660,-0.1613
7679,7680,-0.1639
7699,7700,-0.2077
7719,7720,-0.312
7739,7740,-0.2105
7759,7760,-0.236
7779,7780,-0.1773
7799,7800,-0.2904
7819,7820,-0.2366
7839,7840,-0.2815
7859,7860,-0.1851
7879,7880,-0.2576
7899,7900,-0.2391
7919,7920,-0.2379
7939,7940,-0.2546
7959,7960,-0.2601
7979,7980,-0.2324
7999,8000,-0.2923
8019,8020,-0.2395
8039,8040,-0.2432
8059,8060,-0.1541
8079,8080,-0.2072
8099,8100,-0.2262
8119,8120,-0.2092
8139,8140,-0.3064
8159,8160,-0.2064
8179,8180,-0.2046
8199,8200,-0.2142
8219,8220,-0.2095
8239,8240,-0.2143
8259,8260,-0.2356
8279,8280,-0.1792
8299,8300,-0.2597
8319,8320,-0.3113
8339,8340,-0.2008
8359,8360,-0.234
8379,8380,-0.1546
8399,8400,-0.1573
8419,8420,-0.2306
8439,8440,-0.2387
8459,8460,-0.2367
8479,8480,-0.2042
8499,8500,-0.2128
8519,8520,-0.3198
8539,8540,-0.2341
8559,8560,-0.2833
8579,8580,-0.2558
8599,8600,-0.2593
8619,8620,-0.3045
8639,8640,-0.2627
8659,8660,-0.1289
8679,8680,-0.1578
8699,8700,-0.1879
8719,8720,-0.1938
8739,8740,-0.2635
8759,8760,-0.2312
8779,8780,-0.2146
8799,8800,-0.2088
8819,8820,-0.2147
8839,8840,-0.2108
8859,8860,-0.2126
8879,8880,-0.2072
8899,8900,-0.2623
8919,8920,-0.1293
8939,8940,-0.1552
8959,8960,-0.3744
8979,8980,-0.2366
8999,9000,-0.1789
9019,9020,-0.2122
9039,9040,-0.1815
9059,9060,-0.1899
9079,9080,-0.2331
9099,9100,-0.2261
9119,9120,-0.2356
9139,9140,-0.2161
9159,9160,-0.2372
9179,9180,-0.1757
9199,9200,-0.3087
9219,9220,-0.2013
9239,9240,-0.1272
9259,9260,-0.1041
9279,9280,-0.2413
9299,9300,-0.1918
9319,9320,-0.2059
9339,9340,-0.1601
9359,9360,-0.1584
9379,9380,-0.2086
9399,9400,-0.1793
9419,9420,-0.1047
9439,9440,-0.2288
9459,9460,-0.2883
9479,9480,-0.2384
9499,9500,-0.2579
9519,9520,-0.1786
9539,9540,-0.2287
9559,9560,-0.3096
9579,9580,-0.1538
9599,9600,-0.1849
9619,9620,-0.1572
9639,9640,-0.2397
9659,9660,-0.2375
9679,9680,-0.233
9699,9700,-0.2357
9719,9720,-0.2366
