episode,timestep,reward
19,20,-371.8441
39,40,-209.5705
59,60,-223.5968
79,80,-167.7578
99,100,-302.5462
119,120,-258.2291
139,140,-186.2684
159,160,-228.3212
179,180,-163.0781
199,200,-164.6431
219,220,-126.1988
239,240,-142.103
259,260,-127.4751
279,280,-70.0109
299,300,-74.7033
319,320,-82.3323
339,340,-48.4332
359,360,-47.6664
379,380,-67.9369
399,400,-62.9553
419,420,-47.2654
439,440,-51.787
459,460,-56.7779
479,480,-38.0837
499,500,-43.1216
519,520,-49.6224
539,540,-23.3787
559,560,-28.6684
579,580,-21.6406
599,600,-20.5149
619,620,-22.7889
639,640,-17.2183
659,660,-19.0338
679,680,-19.9136
699,700,-18.0539
719,720,-17.0949
739,740,-17.2195
759,760,-25.7256
779,780,-17.8633
799,800,-18.4234
819,820,-15.9609
839,840,-16.7426
859,860,-16.9717
879,880,-16.871
899,900,-23.6682
919,920,-17.4727
939,940,-18.2869
959,960,-36.8509
979,980,-25.0056
999,1000,-42.9428
1019,1020,-17.4444
1039,1040,-17.3868
1059,1060,-14.9031
1079,1080,-16.4709
1099,1100,-17.2125
1119,1120,-29.8742
1139,1140,-19.294
1159,1160,-21.3042
1179,1180,-22.251
1199,1200,-22.0429
1219,1220,-30.0608
1239,1240,-81.6358
1259,1260,-22.0429
1279,1280,-20.4889
1299,1300,-27.6366
1319,1320,-17.3762
1339,1340,-17.8743
1359,1360,-18.0192
1379,1380,-23.4653
1399,1400,-20.3155
1419,1420,-19.6462
1439,1440,-18.4312
1459,1460,-16.9182
1479,1480,-16.4251
1499,1500,-16.5983
1519,1520,-21.0714
1539,1540,-16.4014
1559,1560,-19.4995
1579,1580,-16.4998
1599,1600,-17.5834
1619,1620,-18.3284
1639,1640,-21.529
1659,1660,-17.9468
1679,1680,-16.566
1699,1700,-21.2499
1719,1720,-15.7852
1739,1740,-19.7287
1759,1760,-31.2618
1779,1780,-16.7166
1799,1800,-20.8859
1819,1820,-19.9387
1839,1840,-16.8177
1859,1860,-16.1566
1879,1880,-20.7908
1899,1900,-16.9908
1919,1920,-16.2705
1939,1940,-20.1747
1959,1960,-26.3571
1979,1980,-16.5195
1999,2000,-21.4524
2019,2020,-16.1563
2039,2040,-16.4901
2059,2060,-18.491
2079,2080,-15.7065
2099,2100,-26.4209
2119,2120,-26.7882
2139,2140,-24.3524
2159,2160,-30.647
2179,2180,-19.8863
2199,2200,-17.5331
2219,2220,-21.0196
2239,2240,-19.1183
2259,2260,-16.5232
2279,2280,-18.1534
2299,2300,-17.2895
2319,2320,-20.6651
2339,2340,-20.071
2359,2360,-22.647
2379,2380,-16.4615
2399,2400,-19.1064
2419,2420,-17.7201
2439,2440,-16.2261
2459,2460,-22.0401
2479,2480,-16.3299
2499,2500,-19.5427
2519,2520,-17.9894
2539,2540,-16.6796
2559,2560,-19.5146
2579,2580,-19.8081
2599,2600,-17.967
2619,2620,-17.7665
2639,2640,-19.0541
2659,2660,-17.1253
2679,2680,-27.2177
2699,2700,-16.546
2719,2720,-17.5406
2739,2740,-16.1692
2759,2760,-20.2797
2779,2780,-18.1021
2799,2800,-20.1595
2819,2820,-18.838
2839,2840,-21.0082
2859,2860,-21.0186
2879,2880,-19.3797
2899,2900,-19.0183
2919,2920,-19.5101
2939,2940,-19.4187
2959,2960,-16.3471
2979,2980,-26.5371
2999,3000,-18.471
3019,3020,-16.5993
3039,3040,-16.8522
3059,3060,-21.8915
3079,3080,-16.9621
3099,3100,-15.5856
3119,3120,-16.4193
3139,3140,-17.846
3159,3160,-24.9182
3179,3180,-63.2333
3199,3200,-33.0196
3219,3220,-18.6601
3239,3240,-16.1542
3259,3260,-18.9714
3279,3280,-29.5944
3299,3300,-19.7826
3319,3320,-19.3537
