episode,timestep,reward
6,4000,-93.8268
11,8000,-94.5825
15,12000,-100.6068
21,16000,-94.5998
24,20000,-76.9492
26,24000,-79.7711
31,28000,-86.783
33,32000,-74.4994
37,36000,-78.6353
39,40000,-73.516
43,44000,-80.0417
45,48000,-74.6616
48,52000,-73.3038
52,56000,-94.7733
55,60000,-75.072
57,64000,-75.5916
60,68000,-93.1354
63,72000,-78.926
65,76000,-74.8125
68,80000,-71.6167
73,84000,-96.9134
76,88000,-76.1377
80,92000,-92.3835
85,96000,-86.4006
87,100000,-85.337
92,104000,-96.7619
94,108000,-80.5136
99,112000,-95.6201
103,116000,-88.5741
105,120000,-81.1064
110,124000,-89.84
113,128000,-89.075
118,132000,-92.7358
121,136000,-95.0795
125,140000,-87.1155
127,144000,-78.9121
131,148000,-90.2987
134,152000,-89.6624
136,156000,-81.1144
141,160000,-89.9611
148,164000,-100.2175
157,168000,-99.9795
168,172000,-100.19
171,176000,-90.8645
173,180000,-84.9019
181,184000,-99.1871
183,188000,-82.3838
190,192000,-95.6121
194,196000,-98.0428
198,200000,-92.6621
201,204000,-81.6923
203,208000,-81.9059
207,212000,-85.492
209,216000,-78.0533
212,220000,-104.4063
215,224000,-91.9668
217,228000,-78.1615
220,232000,-77.5502
223,236000,-102.1839
226,240000,-86.5006
230,244000,-85.8175
233,248000,-81.6609
236,252000,-77.4819
238,256000,-77.3034
242,260000,-104.0493
244,264000,-71.6757
247,268000,-73.3113
249,272000,-77.0361
253,276000,-86.4901
256,280000,-113.1592
259,284000,-77.2209
261,288000,-74.631
265,292000,-99.729
267,296000,-78.2465
270,300000,-78.4218
272,304000,-75.6625
276,308000,-80.7334
278,312000,-75.1428
283,316000,-90.7705
285,320000,-114.7347
290,324000,-89.4586
292,328000,-75.9548
295,332000,-82.4916
297,336000,-84.6676
301,340000,-85.7585
303,344000,-82.6274
306,348000,-74.8072
308,352000,-83.3201
311,356000,-80.2016
314,360000,-94.0747
317,364000,-85.8204
319,368000,-87.0659
322,372000,-81.2662
324,376000,-83.1732
327,380000,-81.3414
329,384000,-78.9835
332,388000,-78.1001
334,392000,-81.5047
337,396000,-80.4638
339,400000,-77.2643
344,404000,-91.1122
346,408000,-84.2276
349,412000,-79.1092
351,416000,-83.9792
354,420000,-79.3671
356,424000,-83.7691
359,428000,-78.7847
361,432000,-79.0886
364,436000,-76.075
366,440000,-76.4075
369,444000,-73.6755
371,448000,-72.7652
374,452000,-75.0493
376,456000,-77.3035
379,460000,-73.9992
381,464000,-116.6901
384,468000,-107.853
388,472000,-102.4806
390,476000,-122.3646
393,480000,-72.0107
395,484000,-69.9231
398,488000,-72.2934
401,492000,-114.6522
405,496000,-101.6323
407,500000,-71.6768
410,504000,-101.9452
412,508000,-114.6859
416,512000,-98.7216
419,516000,-73.6758
421,520000,-76.2254
424,524000,-75.7466
426,528000,-76.5275
429,532000,-75.8813
431,536000,-74.3964
434,540000,-74.3831
436,544000,-74.8836
440,548000,-82.1352
442,552000,-77.298
445,556000,-101.8367
448,560000,-85.9283
450,564000,-78.2431
453,568000,-77.6693
455,572000,-72.3788
458,576000,-79.2709
460,580000,-78.1164
463,584000,-76.4379
465,588000,-73.2846
468,592000,-73.8294
470,596000,-71.7723
473,600000,-96.4352
476,604000,-76.3187
480,608000,-123.0371
483,612000,-115.4142
485,616000,-77.0507
488,620000,-130.8369
491,624000,-73.542
494,628000,-90.1073
496,632000,-75.5515
499,636000,-70.9192
502,640000,-94.6041
505,644000,-103.9485
507,648000,-103.1814
510,652000,-102.7654
512,656000,-73.3754
515,660000,-98.6787
518,664000,-103.937
520,668000,-114.5815
523,672000,-74.0103
525,676000,-73.4956
528,680000,-74.7994
530,684000,-74.8163
533,688000,-99.4572
536,692000,-83.1012
539,696000,-100.1565
541,700000,-79.7374
544,704000,-101.4323
546,708000,-73.9339
549,712000,-71.1049
551,716000,-71.48
554,720000,-71.6716
556,724000,-73.9755
559,728000,-75.6173
561,732000,-69.9284
564,736000,-71.4074
567,740000,-96.9772
569,744000,-72.1864
572,748000,-99.1758
575,752000,-90.7137
578,756000,-78.9088
580,760000,-71.6317
583,764000,-131.8256
585,768000,-70.9256
588,772000,-73.6407
590,776000,-76.1579
594,780000,-86.5891
596,784000,-76.1097
599,788000,-74.4641
602,792000,-90.4586
605,796000,-76.9191
607,800000,-73.51
610,804000,-134.5709
613,808000,-125.4259
615,812000,-70.6928
618,816000,-90.74
621,820000,-73.0467
623,824000,-115.6287
626,828000,-75.9179
